majr,desc,cip
ESCB,Environmental Sci (Biology),30104
ESCC,Environmental Sci (Chemistry),30104
ESCG,Environmental Sci (Geoscience),30104
ESEA,Educational Leadership & Admin,130401
ESEE,Special Educ Exceptionalities,131001
ESFR,French (K-12),131325
ESGE,Exception Spec & Gifted Educ,1310
ESGR,German (K-12),131326
ESLE,ESL License Endorsement,131401
ESLL,English as Second Lang. (K-12),131401
ESME,K-12 Music Education,131312
ESPE,K-12 Teaching Phy. Ed.,131314
ESPH,K-12 Phy Ed/ 5-12 & Hlth Ed,131314
ESSL,Superintendent Licensure,130411
ESSP,Spanish (K-12),131330
ESSU,Superintendent,130411
ESTA,K-12 Teaching Theater,131324
ESWL,K-12 World Lang. & Cultures,131399
EVCI,Evening Mba (Ci),520201
EXMB,Executive MBA,520201
EXSC,Exercise Science,512207
FAST,Family Studies,190704
FRAN,Franchising Management,520702
FREI,Int'l Business - French,160901
FREL,French - Literary Studies,160901
FREN,French,160901
FSTD,Film Studies,500601
FTMB,Business Administration,520201
GECW,Creative Writing & Publishing,231302
GEIS,Geographical Info Systems,450701
GENL,Gen Studies - Undeclrd/Undecd,240102
GEO1,Geology (BS),400601
GEOG,Geography,450701
GEOL,Geology,400601
GERI,Int'l Business - German,160501
GERL,German - Literary Studies,160501
GERM,German,160501
GGIS,Geography - Geo Info Sys (GIS),450701
GKLS,Literary Studies - Greek,160104
GREK,Greek,161202
HCAN,Healthcare Analytics,110103
HCIN,Health Care Innovation,510701
HCLL,Hisp&Latin Amer Lang/Lit/Ling,160908
HCMB,Health Care,520299
HCMG,Health Care Management,520299
HCMS,Health Care Communication,90905
HIST,History,540101
HLED,Health Ed--Non-Licensure,512207
HLTC,Community Health Education,512207
HRCD,Human Resource/Career Dev,521001
HRCO,Human Resource/Compensation,521001
HREB,Human Resource/Emp Benefits,521001
HRGN,Human Resource/Generalist,521001
HRIN,Intl Human Resource Mgmt,521001
HRLW,Human Resource Law,521001
HROD,Human Resource/Org Development,521001
HRTR,Human Resource/Training,521001
HUMR,Human Resources Management,521001
INCO,Internal Communication,529999
IND2,Individualized,240199
INDV,Individualized,240199
INFC,Intl Finance,520806
INHR,Intl Human Resources,521001
INID,Intl Interdisciplinary,521101
INIM,Master of International Mgmt,521101
INMC,Intl Managerial Comm,521101
INMF,Manufacture Mgmt Concentration,521101
INMK,Intl Marketing,521101
INSW,Software & Info Technology,110103
INTB,International Business,521101
INTE,Intl Studies - Economics,450601
INTH,Intl Studies - History,540101
INTL,International Management,521101
INTP,Intl Studies - Pol Sci,450901
INTS,International Studies,450901
IOTH,Internet of Things,110103
JAPN,Japanese,160302
JDMB,Joint MBA/JD Program,220205
JMCI,JD/MBA Management (CI),220205
JMPB,Jd/Mba Management (Pb),220205
JOAD,Journalism - Advertising,90401
JOBR,Journalism - Broadcast,90402
JOET,Journalism - Print,90401
JOMS,Journalism - Media Studies,90102
JOPR,Journalism - Public Relations,90401
JOUR,Journalism,90401
JOVC,Journalism-Visual Comm,90401
JPCT,Justice&Peace-Conflict Transfm,300501
JPPE,Peace Engineering,300501
JPPP,Justice&Peace-Public Policy,300501
JPSJ,Justice&Peace-Ldrshp Soc Just,300501
JPST,Justice & Peace Studies,300501
KNBS,Knowledge-Based Systems,110102
LACO,Org. Ethics & Compliance,220201
LADR,Law (Arbitration/Dispute Res),220101
LAGK,Classical Languages,161200
LATL,Latin - Literary Studies,161203
LATN,Latin,161203
LAUS,U.S. Law,220201
LAWS,Law,220101
LBUS,Law (Business),220101
LCCD,Career Development,139999
LCET,Educational Technologies,139999
LCHI,Law (Child Advocacy),220101
LCHR,Human Resource Management,139999
LCID,Instructional Design,130301
LCOO,Co-Occurring Disorders,131013
LCTR,Training,139999
LDIV,Divinity - Lay Students,390602
LENV,Law (Environmental),220101
LERN,E-Learning,139999
LETH,Law (Ethics),220101
LGOV,Law (Government/Public Policy),220101
LGST,Legal Studies,220000
LHCL,Human Resource & Change Ldshp,139999
LHOD,Organization Development,139999
LHRD,Human Resource Development,139999
LHTC,Law (Health Care),220101
LIBA,Liberal Arts,240101
LINP,Law (Intellectual Property),220101
LINT,Law (International),220101
LITA,Literary Studies (Eng/Ancient),160104
LITM,Literary Studies (Eng/Modern),160104
LMCO,Org. Ethics & Compliance,220201
LMFT,Family Psychology Conc.,422811
LMOD,Organization  Devel & Change,139999
LODC,Organization Develop & Change,139999
LPTE,Leadership & Technology,139999
LPTG,"Learning, Performance & Tech",139999
LPUB,Law (Public Interest),220101
LSFR,Literary Studies - French,160104
LSGK,Literary Studies - Greek,160104
LSGR,Literary Studies - German,160104
LSLA,Literary Studies - Latin,160104
LSSP,Literary Studies - Spanish,160104
LTDC,"MA Tech for Lrng, Devl & Chng",139999
LTEC,Learning Technology,139999
LYMN,Theology - Lay Ministry,390705
MAPM,Pastoral Ministry,390699
MAPS,Pastoral Studies,390699
MARE,Religious Education,390401
MAST,Mathematical Statistics,270501
MAT1,None,270101
MAT2,Applied Mathematics,270101
MAT3,Statistics,270501
MATG,MA Theology Generalist,390699
MATH,Mathematics,270101
MATR,MA Theology Research Track,390699
MATS,MA Theology Specialist,390699
MATT,MA Theology Thesis Track,390699
MBEX,Executive Program,520201
MCCE,Mission & Culture of Cath Ed,3802
MCCS,Medical Prod. Clinical Studies,143601
MCEE,Engineering for Educators,149999
MCMA,Materials Science,143701
MCMD,Medical Device Development,143601
MCML,Technology Leadership,143601
MCPD,Product Development,143601
MCQU,Quality,143601
MCSY,Manufacturing Systems,143601
MDIV,Divinity - Seminarians,390602
MDMB,Medical Group Management,520299
MEIN,Instrumental Music (K-12),131312
MEMA,Music Education,131312
MES1,Middle Eastern Studies,50105
MEVO,Vocal Music (K-12),131312
MFGS,Manufacturing Systems,143601
MGMP,Medical Group Management,520299
MGRL,Managerial Communication,529999
MIND,Music Industry,501003
MKCO,Marketing Communications,521401
MLCL,Comm Arts & Lit (5-8),131305
MLFR,French (K-8),131325
MLGR,German (K-8),131326
MLMA,Math (5-8),131311
MLSI,Science (5-8),131316
MLSP,Spanish (K-8),131330
MLSS,Social Studies (5-8),131318
MMSE,Mfg Systems Engineering,143601
MSCH,Chemistry (9-12),131323
MSCL,Comm. Arts & Lit (5-12),131305
MSCT,Museum Studies,301401
MSDD,Software Design & Development,110103
MSDS,Data Science,110802
MSEC,Soc Studies (5-12) - Economics,131318
MSED,Middle/Secondary Education,131203
MSEE,Electrical Engineering,141001
MSEI,Mat Sci & Engineering Interdis,143701
MSEL,Ba In K-12 Education,131206
MSEN,Material Science & Engineering,141801
MSES,Earth & Space Science (9-12),131337
MSGO,Soc Studies (5-12) - Geography,131318
MSGS,General Science (5-8),131316
MSHI,Soc Studies (5-12) - History,131318
MSHL,Health Ed. - Teaching (5-12),131307
MSIM,Instrumental Music Ed. K-12,131312
MSIT,Information Technology,110103
MSLS,Life Science (9-12),131316
MSMA,Mathematics (5-12),131311
MSME,Mechanical Engineering,141901
MSMF,Manufacturing Engineering,143601
MSMS,Manufacturing Systems,143601
MSMT,Manufacturing Track,143601
MSPH,Physics (9-12),131329
MSPO,Soc Studies (5-12) - Pol. Sci.,131318
MSPS,Soc Studies (5-12) - Psych.,131318
MSRA,Real Estate Appraisal,521501
MSRL,Real Estate,521501
MSRS,Regulatory Science,159999
MSSE,Software Engineering,110103
MSSM,Software Management,110103
MSSO,Soc Studies (5-12) - Sociology,131318
MSSS,Social Studies (5-12),131318
MSST,Service Track,143601
MSTM,Technology Management,151501
MSVM,Vocal Music Ed. K-12,131312
MSWA,Social Work Advanced Standing,440701
MSWS,Software Systems,110103
MSYE,Systems Engineering,142701
MTCO,Management Communication,529999
MTHA,Mathematics (Applied Track),270101
MTHE,Mathematics (Education Track),270101
MTHL,Theology,390705
MTHP,Mathematics (Pure Track),270101
MTHS,Mathematics (Statistics Track),270101
MUBA,Music - Business,500901
MUCH,MEMA Choral Conc.,131312
MUCO,Music Composition,500904
MUDC,MEMA Dalcroze Conc.,131312
MUIN,Music Institute,500903
MUKO,MEMA Kodaly Conc.,131312
MULT,Music - Liturgical Music,500901
MUNS,MEMA Instrumental Conc.,131312
MUOS,MEMA Orff Schulwerk Conc.,131312
MUPE,Music - Performance,500903
MUPP,MEMA Piano Ped. Thesis Conc.,131312
MUS3,Electronic Music Production,500999
MUS4,Jazz Studies,500910
MUS5,Popular Music,500999
MUS6,Recording Arts,500999
MUSC,Music,500901
MUTH,Music - Musical Theater,500901
NDAH,Non-Degree Grad Art History,500703
NDBC,Non-Degree Grad Bus Comm,529999
NDCS,Non-Degree Grad Cath Studies,380201
NDEN,Non-Degree Grad English,230101
NDFT,Non-Degree Business Admin,529999
NDHR,Non-Degree Grad Hum Res,521001
NDIN,Non-Degree Grad Int'l Mgmt,521101
NDMB,Non-Degree Business Admin,529999
NDME,Non-Degree Grad Music Ed,131312
NDND,Non-Degree,240102
NDRE,Non-Deg. Real Estate Appraisal,521501
NDRL,Non-Degree Real Estate,521501
NONE,No UST Equivalent,999999
NONP,Non-Profit Management,520299
NSCI,Neuroscience,261501
OBOR,Object Oriented Concentration,110201
PEH1,Health Promotion,512207
PEH2,Health Promotion - Science,512207
PEHE,Phy Ed (K-12) & Hlth Ed (5-12),131314
PELS,Power Electronics & Systems,141099
PENL,Phys Ed - Non-Licensure,131314
PETE,Physical Education (K-12),131314
PHIL,Philosophy,380101
PHLS,Public Health Studies,512207
PHY1,Physics (BS),400801
PHYS,Physics,400801
PLLD,Publc Safety & Law Enfr Ldrshp,430103
POLS,Political Science,451001
PPCT,Piano Pedagogy Certificate,500907
PREL,Public Relations,529999
PROF,Professional Communication,529999
PSYC,Psychology,420101
PSYN,Psy - Behavioral Neuroscience,429999
PTMB,Business Administration,520201
PUBH,Public Health Studies,512207
QMC1,Computer Science (Natural Sci),110101
QMC2,Computer Science (Business),110101
QMC3,Computer Science (Math),110101
QMC4,Computer Science,110101
QMC5,Computer Information Systems,110101
QMC6,Quantitative Methods,110101
QMCS,Quant Methods - Computer Sci,110101
RCEE,Russ/Central/East Europe Stds,50110
RCTH,Respiratory Care Therapy,510908
RENC,Renaissance Program,309999
ROML,Romance Languages,160101
RUSS,Russian,160402
SADI,Special Education Director,130402
SCAI,Strat & Explicit Acad Instr,131315
SCBA,Behavior Analyst Certificate,131001
SCOG,Orton-Gilingham Reading Appr,131315
SDDV,Information Systems,110103
SEAM,Socio-Econ Approach to Mgmnt,139999
SEAS,Advanced Study,110103
SMDS,"Science, Medicine, and Society",301501
SMEE,Science & Math For Elem. Ed.,131316
SOCI,Sociology,451101
SOCJ,Criminal Justice,450401
SOSE,Social Science - Economics,450101
SOSH,Social Science - History,450101
SOSP,Social Science - Political Sci,450101
SOSS,Social Science - Sociology,450101
SOWK,Social Work,440701
SPAB,Acad Behavioral Strategist,131099
SPAI,Int'l Business - Spanish,160905
SPAL,Spanish - Literary Studies,160905
SPAN,Spanish,160905
SPAS,Autism Spectrum Disorders,131013
SPCL,Spanish Cultural/Literary St.,160905
SPCT,"Hispanic Cultures, Lit., Ling.",160908
SPDD,Developmental Disabilities,131006
SPEC,Early Childhood Special Educ,131099
SPEM,Emotional Behavioral Disabil.,131005
SPLD,Learning Disabilities,131011
SPLL,Spanish Linguistics/Lang. St.,160905
SPMA,Special Education,131001
SPMH,Spec Ed Mildly Handicapped,131006
SPPA,Supervising Paraprofessionals,131501
SPTX,Twice Exceptional Education,139999
SSCI,Social Sciences,450101
SSMG,Social Service Management,440701
STAT,Statistics,270501
STEM,"Sci, Tech, Engineering, & Math",131316
STXU,Twice Exceptional/Underserved,139999
SUST,Sustainability,30103
SWCJ,Social Work - Criminal Justice,440701
SWEL,Social Welfare,440701
SWPB,Social Work - Public Health,440701
SWSC,Social Work - Sociology,440701
TECI,Educational Studies,130301
TEED,Teaching College English,131305
TEND,Engineering Education,131309
THE1,Biblical Studies Minor,380201
THE2,Faith Citizen & Common Good,380201
THE3,Interreligious/Compar Theology,380201
THEA,Theater,500501
THEO,Theology,380201
THR1,Theater Performance,500501
THR2,Theater Hist/Theory-Criticism,500505
THR3,Film,500601
TLMS,Teacher Prep - Middle School,131203
TMED,Mathematics Education,131311
TPEL,Teacher Preparation-Elem K-6,131202
TPET,Teacher Preparation-Elementary,131202
TPKT,Teacher Preparation - K-12,131206
TPST,Teacher Preparation-Secondary,131205
TRED,K-12 Reading Endorsement,131315
TSED,Special Education,131001
TWCT,Teaching World Music,131312
UNDC,Undecided,240102
UNKW,Unknown (Recruit Only),999999
URBS,Urban Studies,451201
VENT,Venture Management,520701
WMST,Womens Studies,50207
WRIT,Advanced Writing Certificate,529999
XBIO,Pre-Biol - Health Professions,260101
XCHE,Pre-Chemistry,400501
XCHR,Pre-Chiropractic,511106
XCJA,COJO-Advertising,99999
XCJB,COJO-Broadcast Journalism,99999
XCJC,COJO-Communication Studies,99999
XCJM,COJO-Media Studies,99999
XCJP,COJO-Print Journalism,99999
XCJR,COJO-Public Relations,99999
XDEN,Pre-Dentistry,511101
XELE,Education-Elementary Education,131202
XENG,Pre-Engineering,140102
XENV,Environmental Studies,30103
XESC,Environmental Science,30104
XESX,Pre-Education - K-12,131202
XHLT,Undecided - Health,240101
XJOU,COJO-Journalism,99999
XLAW,Pre-Law,220001
XLST,Literary Studies,160104
XMED,Pre-Medicine,260101
XMSE,Education-Secondary Education,131203
XOCT,Pre-Occupational Therapy,511107
XOPT,Pre-Optometry,511108
XPHA,Pre-Pharmacy,260101
XPPA,Pre-Physician Assistant,511199
XPPT,Pre-Physical Therapy,511199
XPRO,Pre-Professional,309999
XSSC,Social Sciences,450101
XTHL,Formation,390604
XVET,Pre-Veterinary Medicine,511104
XXXX,Pseudo Major,999999
ZACC,Accounting,520301
ZACP,Accounting,520301
ZANT,Anthropology,450201
ZARE,Art Education,131302
ZART,Studio Art,500702
ZBA2,Bus Admin - Entrepreneur,520701
ZBA3,Renaissance Program/Business,309999
ZBA4,Legal Studies,220000
ZBAC,Bus Admin - Oral/Telecommunic,520299
ZBAE,Bus Admin - Education,520299
ZBEC,Electronic Business,529999
ZBEP,Electronic Business,529999
ZBI2,Biology Education,260101
ZBUC,Business And Commerce,520501
ZCCI,Computers In Instruction Cert,131321
ZCDP,Human Resource/Career Dev,521001
ZCFB,Corporate Fitness - Business,310501
ZCFH,Corporate Fitness - Health,310501
ZCFS,Corporate Fitness - Science,310501
ZCGO,Government Contracts Cert,520202
ZCH2,Chemistry Education,400501
ZCHA,Chemistry - Acs Approved,400501
ZCHD,Human Development Tech Cert,139999
ZCHE,Chemistry - Education,400501
ZCLT,Catechetics & Liturgy,390699
ZCME,Speech Communication - Educ,90101
ZCML,Telecommunication,99999
ZCMS,Speech Communication,90101
ZCMT,General Communication/Theater,90101
ZCOP,Human Resource/Compensation,521001
ZCOX,Computer Science,110101
ZCST,Speech/Theater - Education,90101
ZCT1,Speech-Communication,90101
ZCTP,Gifted Professional Cert,131004
ZDAC,Accounting,520301
ZDAD,Day Mba,520201
ZDBE,Electronic Business,529999
ZDCD,Human Resource/Career Dev,521001
ZDCO,Human Resource/Compensation,521001
ZDEA,Elementary Administration,130408
ZDEB,Human Resource/Emp Benefits,521001
ZDEC,Social Studies - Econ Conc,131318
ZDEN,Environmental Management,30201
ZDFC,Finance,520801
ZDFR,Franchising,520702
ZDFS,Financial Services,520804
ZDGC,Government Contracts,520202
ZDGE,General  Administration,130401
ZDGR,Human Resource/Generalist,521001
ZDHC,Health Care Management,520299
ZDHL,Human Resource Law,521001
ZDIF,Information Management,521201
ZDIH,Intl Human Resource Mgmt,521001
ZDIM,International Management,521101
ZDIS,Risk And Insurance,521701
ZDMF,Manufacturing Systems,143601
ZDMG,Management,520201
ZDMK,Marketing,521401
ZDNP,Nonprofit Management,520299
ZDOD,Human Resource/Org Development,521001
ZDRE,Real Estate,521501
ZDSD,Software Design & Development,110103
ZDSE,Secondary Administration,130409
ZDSF,Software Engineering,110103
ZDSP,Sports Management,529999
ZDTR,Human Resource/Training,521001
ZDUN,Undecided,529999
ZDVE,Venture Management,520701
ZEAD,Reading,131315
ZEBP,Human Resource/Emp Benefits,521001
ZECB,Economics - Business Conc,450601
ZECP,Economics - Public Admin,450601
ZED1,Secondary Education,131205
ZEDC,Social Studies - Soc Conc,131318
ZEDH,Social Studies - Hist Conc,131318
ZEDO,Social Studies - Geog Conc,131318
ZEDP,Social Studies - Pol Sc Conc,131318
ZEDY,Social Studies - Psych Conc,131318
ZEF1,Mechanical Engineering - Mfg,141901
ZEN2,English - Education,230101
ZENC,Environmental Management,30201
ZENE,English - Education,230101
ZENG,Engineering,141301
ZENN,Liberal Arts - Engineering,309999
ZENP,Environmental Management,30103
ZENR,Energy Management,520299
ZESF,World Lang. & Cultures-French,131325
ZESG,World Lang. & Cultures-German,131326
ZESS,World Lang. & Cultures-Spanish,131330
ZEX1,Mech Eng. - Mechatronics,141901
ZEXC,Exchange Major,240199
ZFCC,Finance,520801
ZFCN,Family Consumer Nutr Sciences,190501
ZFCP,Finance,520801
ZFIN,Business Admin Finance,520801
ZFOR,Pre-Forestry,30599
ZFRC,Franchising,520702
ZFRE,French - Education,160901
ZFRP,Franchising,520702
ZFSC,Financial Services,520804
ZFSO,Family Social Science,190401
ZFSP,Financial Services,520804
ZFYM,Non-Deg 5th Yr Mech Engineer,141901
ZGCP,Government Contracts Mgmt,520202
ZGE2,Geology Education,400601
ZGEE,Earth Science - Education,400601
ZGEN,General Liberal Arts,240199
ZGME,German - Education,160501
ZGRP,Human Resource/Generalist,521001
ZGSC,General Science,400101
ZGVC,Government Contracts Mgmt,520202
ZH1C,Human Res/Organizational Devel,521001
ZH1P,Human Res/Organizational Devel,521001
ZH2C,Human Res/Training,521001
ZH2P,Human Res/Training,521001
ZH3B,Human Res/Career Development,521001
ZH3C,Human Res/Career Development,521001
ZHCC,Health Care Management,520299
ZHCP,Health Care Management,520299
ZHDT,Lhdt Applied Cognitive Tech,139999
ZHE1,Nutrition,190504
ZHEC,Home Economics,190101
ZHED,Home Economics - Dietetics,190501
ZHEE,Home Economics - Education,190101
ZHEF,Home Econ - Foods & Dietetics,190501
ZHET,Home Econ - Textile & Cloth,190901
ZHFO,Food & Dietetics,190501
ZHHL,Lhdt Hrd Health,139999
ZHL1,Teaching/Health Education,131307
ZHLP,Human Resource Law,521001
ZHLT,Health Education 5-12,131307
ZHPS,Public Safety Educ & Admin,130499
ZHRC,Human Res/Management,521001
ZHRP,Human Res/Management,521001
ZHUM,Humanities,240103
ZIBU,International Business,521101
ZIFC,Information Management,521201
ZIFD,Gifted/Creative/Talented,131004
ZIFP,Information Management,521201
ZIHL,Curr & Instr Allied Health,130301
ZIHP,Intl Human Resource Mgmt,521001
ZIIL,Curr & Instr Elementary,130301
ZIMC,Intl Mgmt/Career Integrated,521101
ZIMP,Intl Mgmt/Prior Business,521101
ZINA,Intl Bus - Accounting,521101
ZINB,Intl Bus - Business Intensive,521101
ZINE,Intl Bus - Entrepreneurship,521101
ZINF,Intl Bus - Finance,521101
ZINH,Intl Bus - Human Resources,521101
ZINM,Intl Bus - Marketing Mgmt,521101
ZINO,Intl Bus - Operations Mgmt,521101
ZINT,Intl Bus - Oral/Telecommuni,521101
ZIPS,Curr & Instr Public Safety,130301
ZISC,Risk And Insurance,521701
ZISP,Risk And Insurance,521701
ZJFC,Finance,520801
ZJFP,Finance,520801
ZJO1,Journalism,90499
ZJOF,Intl Journalism -French,90401
ZJOG,Intl Journalism - German,90401
ZJOS,Intl Journalism - Spanish,90401
ZLAP,Adapted Physical Ed Licensure,512309
ZLBL,Bilingual/Bicultural Licensure,130201
ZLCS,Reading Counsultant K-12,131315
ZLDI,Special Education Director,130402
ZLDS,Sec Developmental Rdg Lic,131315
ZLEL,Elem Administration Licensure,130408
ZLGS,Legal Studies,220000
ZLMH,Mildly Handicapped Licensure,131006
ZLMM,Mild/Moderate Retard Lic,131006
ZLMR,Mr:Severe/Profound Licensure,131006
ZLPE,Parent Education,139999
ZLPH,Physically Handicapped Lic,131008
ZLPR,Labor Relations & Personnel,521001
ZLRE,Elem Remedial Rdg Licensure,131315
ZLRS,Sec Remedial Rdg Licensure,131315
ZLSC,Sec Administration Licensure,130409
ZLSE,Life Science - Education,260101
ZMAE,Mathematics,270101
ZMBI,Integrative Management,520201
ZMCM,Materials Science Cert,143701
ZMED,Music Band K-12/Classrm 5-12,131312
ZMFC,Manufacturing Systems,143601
ZMFG,Manufacturing Systems Eng,143601
ZMFP,Manufacturing Systems,143601
ZMGC,Management,520201
ZMGP,Management,520201
ZMKC,Marketing,521401
ZMKP,Marketing,521401
ZMMP,Piano Pedagogy & Performance,500903
ZMSC,Manufacturing Systems Cert,143601
ZMU2,Music Criticism,131312
ZMUG,Music-Perform/Studio (Guitar),500903
ZMUP,Music-Perform/Studio (Piano),500903
ZMUT,Music - Musical Theater,500901
ZMUV,Music-Perform/Studio (Voice),500903
ZMV1,Music Vocal/Classroom K-9,131312
ZMV2,Music Vocal/Classroom 5-12,131312
ZNAV,Navy V-12,280401
ZNDH,Non-Degree/Human Resource Mgmt,521001
ZNDM,Non-Degree/Graduate Management,529999
ZNDS,Non-Degree/Systems Engineer,143601
ZNMF,Non-Degree/Mfg Systems,143601
ZNPC,Non Profit Management,520206
ZNPL,Elementary Administration,130408
ZNPP,Non Profit Management,520206
ZNUR,Nursing,511601
ZOCC,Occupational Therapy,512306
ZODP,Human Resource/Org Development,521001
ZOPC,Operations Management,521399
ZOPP,Operations Management,521399
ZOTM,Other Major,999999
ZP01,St. Thomas Law,220101
ZP02,Minneapolis Coll of Music,500904
ZP04,Economics - Quant Methods,450601
ZP05,Economics - Political Sci,451099
ZP06,Home Economics - Business/Soci,190101
ZP08,Library Science,250101
ZP12,Seminary,390604
ZP14,Pre-Architecture,40902
ZP15,Social Studies,301501
ZP16,Professional Manager,520201
ZP17,MACI Educ K-12,130301
ZP18,MAT - Intern,139999
ZP19,MAT - Non-Intern,139999
ZP20,MA - Gifted,131004
ZP21,MACI Public Safety,439999
ZP22,Master of Education,130101
ZP23,Counseling Psychology,422803
ZP24,Counseling - Secondary,422803
ZP25,Reading,131315
ZP26,Spec Educ-S.L.B.P.,131001
ZP27,Spec Educ - Emot Dis,131005
ZP28,Spec Educ-E.M.R.,131006
ZP29,Spec Educ-T.M.R.,131006
ZP30,Spec Educ Ph Hand,131008
ZP31,Spec Educ - EC,131001
ZP32,Sch Business Officer,130499
ZP33,Elem Administration,130408
ZP34,Sec Administration,130409
ZP35,Gen Administration,130401
ZP36,Business Admin,130499
ZP37,Community Educ,130499
ZP38,Nonpub El. Ad.,130408
ZP39,Nonpub Sec Ad,130409
ZP40,Nonpub Gen Ad,130408
ZP41,Athletic Admin,130499
ZP42,Nonpub El. Ad.,130408
ZP43,Nonpub Sec Ad,130409
ZP44,Non Pub. Gen. Ad.,520201
ZP45,MACI Secondary,130301
ZP46,MACI Elementary,130301
ZP47,LRN-Human Dev Tech,521001
ZP48,Spec Educ-Adapt P.E.,512309
ZP49,Lrn-Hum Dev Tech - HRD,521001
ZP50,Lrn-Hum Dev Tech - Hlth,521001
ZP52,MACI Elementary - L Ed,130301
ZP53,Education Leadership,130401
ZP54,Anthropology,450201
ZP55,Art,360110
ZP56,Bus Admin - Education,520201
ZP57,Physical Education,310501
ZP58,Communication - Theater,360117
ZP59,Speech - Theater,360117
ZP60,Marriage/Family Couns. Cert,422811
ZP61,Civil Engineering,141301
ZPAP,Spec Ed Adapted Physical Educ,512309
ZPCS,Reading Consultant K-12,131315
ZPDS,Secondary Developmental Rdg,131315
ZPEH,Phy Ed Health Pro - Sci,512207
ZPEP,Physical Education,310501
ZPET,Health - Teaching,131307
ZPGE,General Administration,130401
ZPH2,Physics Education,400801
ZPHE,Physics - Education,400801
ZPHL,Health,519999
ZPIE,Teacher Prep Intern-Elementary,131202
ZPIN,Teacher Prep Intern-Secondary,131205
ZPL2,Philosophy - Sjv,380101
ZPMC,Public Management,520299
ZPMM,Spec Ed Mild/Moderate Retard,131006
ZPMP,Public Management,520299
ZPMR,Spec Ed Mr:Severe/Profound,131006
ZPO2,Public Administration,440401
ZPPH,Spec Ed Physically Handicapped,131008
ZPRE,Elementary Remedial Rdg,131315
ZPRS,Secondary Remedial Reading,131315
ZPSE,Secondary Administration,130409
ZPUB,Public Administration,440401
ZREC,Real Estate Career Integrated,521501
ZREP,Real Estate Prior Business,521501
ZRUA,Russian Area,50110
ZRUS,Russian,160402
ZSCM,Community Education,130499
ZSCN,Excersize Science,400101
ZSEE,Soviet & East European Studies,50110
ZSEL,Elementary Administration,130408
ZSGE,General Administration,130401
ZSMS,Science Education 5-9,131316
ZSO2,Sociology Research Meth,451101
ZSO3,Human Work Systems,451101
ZSO4,Lifecourse Choices,451101
ZSOS,Social Science,450101
ZSPC,Sports Management,529999
ZSPE,Spanish-Education,160905
ZSPP,Sports Management,529999
ZSSB,School Business Officer,130499
ZSSD,Software Design,110103
ZSSE,Secondary Administration,130409
ZTHE,Theology,380201
ZTRP,Human Resource/Training,521001
ZUNC,Evening MBA,520201
ZUNP,Evening MBA,520201
ZVEC,Venture Management,520701
ZVEP,Venture Management,520701
